pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.9425642,None,0,0,0,0,,,,,0.0483537,,0.0280758,0.0483537,1.000347,1.000347,1.000347,1.000347,1.0498106,2.000199,2.000199,2.9563197,x,1,0.9425642,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
150,y,1,1,0,v,0,0.7243494,None,0,1,1,1,,,,,2.9658982,,2.9566852,2.9658982,3.9667617,3.9667617,3.9667617,3.9667617,3.9667617,4.9660222,4.9660222,5.7044304,v,0,0.7243494,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
50,c,2,2,0,c,1,0.5982246,None,0,2,2,2,,,,,5.716152,,5.7047403,5.716152,6.7164488,6.7164488,6.7164488,6.7164488,6.7164488,7.7157531,7.7157531,8.3217756,c,1,0.5982246,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
-150,z,3,3,0,z,1,0.3602342,None,0,3,3,3,,,,,8.3335034,,8.322111,8.3335034,9.3323028,9.3323028,9.3323028,9.3323028,9.3323028,10.3332303,10.3332303,10.7037158,z,1,0.3602342,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
-50,x,4,0,1,x,1,0.6248455,None,1,0,4,0,,,,,10.7168019,,10.7040554,10.7168019,11.7163024,11.7163024,11.7163024,11.7163024,11.7163024,12.7161932,12.7161932,13.3526866,x,1,0.6248455,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
150,y,5,1,1,v,0,0.7408267,None,1,1,5,1,,,,,13.3665524,,13.35292,13.3665524,14.350142,14.350142,14.350142,14.350142,14.3663743,15.3668022,15.3668022,16.1205415,v,0,0.7408267,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
50,c,6,2,1,c,1,0.486227,None,1,2,6,2,,,,,16.1329364,,16.1218055,16.1329364,17.1322165,17.1322165,17.1322165,17.1322165,17.1322165,18.1320632,18.1320632,18.6203175,c,1,0.486227,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
-150,z,7,3,1,z,1,0.5405518,None,1,3,7,3,,,,,18.6347787,,18.6205922,18.6347787,19.6333843,19.6333843,19.6333843,19.6333843,19.6506161,20.6325013,20.6325013,21.1866404,z,1,0.5405518,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
-50,x,8,0,2,x,1,0.5541692,None,2,0,8,0,,,,,21.1992238,,21.1869701,21.1992238,22.1998332,22.1998332,22.1998332,22.1998332,22.1998332,23.1987698,23.1987698,23.7546885,x,1,0.5541692,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
150,y,9,1,2,v,0,0.6210035,None,2,1,9,1,,,,,23.7660812,,23.7550952,23.7660812,24.7657925,24.7657925,24.7657925,24.7657925,24.7657925,25.7662491,25.7662491,26.4032958,v,0,0.6210035,None,,,,,142662,1,2024-10-17_21h23.34.089,untitled,2024.2.1post4,61.34239238,2024-10-17 21h23.39.257599 +0530
